brand,name,type,country,ingredients,afterUse,price,url,match_score,matched_name
"","APIVITA Express Deep Cleansing Face Mask - Green Clay 2x8ml","Mask","","[]","[]","£4.00","https://www.lookfantastic.com/apivita-express-deep-cleansing-face-mask-green-clay-2x8ml/11902641.html","59","UNMATCHED"
"","APIVITA Express Detox Face Mask - Pumpkin 2x8ml","Mask","","[]","[]","£4.00","https://www.lookfantastic.com/apivita-express-detox-face-mask-pumpkin-2x8ml/11902649.html","58","UNMATCHED"
"","APIVITA Express Firming Face Mask - Royal Jelly 2x8ml","Mask","","[]","[]","£5.50","https://www.lookfantastic.com/apivita-express-firming-face-mask-royal-jelly-2x8ml/11902650.html","60","UNMATCHED"
"","APIVITA Express Intense Moisturizing Face Mask - Cucumber 2x8ml","Mask","","[]","[]","£4.00","https://www.lookfantastic.com/apivita-express-intense-moisturizing-face-mask-cucumber-2x8ml/11902639.html","60","UNMATCHED"
"","APIVITA Express Line Reducing Face Mask - Grape 2x8ml","Mask","","[]","[]","£4.00","https://www.lookfantastic.com/apivita-express-line-reducing-face-mask-grape-2x8ml/11902647.html","53","UNMATCHED"
"","APIVITA Express Moisturizing & Soothing Face Mask - Prickly Pear 2x8ml","Mask","","[]","[]","£5.50","https://www.lookfantastic.com/apivita-express-moisturizing-soothing-face-mask-prickly-pear-2x8ml/11902652.html","64","UNMATCHED"
"","APIVITA Express Moisturizing Face Mask - Aloe 2 x 8ml","Mask","","[]","[]","£4.00","https://www.lookfantastic.com/apivita-express-moisturizing-face-mask-aloe-2-x-8ml/11902637.html","53","UNMATCHED"
"","APIVITA Express Moisturizing Face Mask - Honey 2x8ml","Mask","","[]","[]","£4.00","https://www.lookfantastic.com/apivita-express-moisturizing-face-mask-honey-2x8ml/11902640.html","55","UNMATCHED"
"","APIVITA Express Moisturizing Face Mask - Sea Lavender 2x8ml","Mask","","[]","[]","£4.00","https://www.lookfantastic.com/apivita-express-moisturizing-face-mask-sea-lavender-2x8ml/11902648.html","57","UNMATCHED"
"","APIVITA Express Purifying Face Mask for Oily Skin - Propolis 2x8ml","Mask","","[]","[]","£4.00","https://www.lookfantastic.com/apivita-express-purifying-face-mask-for-oily-skin-propolis-2x8ml/11902643.html","62","UNMATCHED"
"","APIVITA Express Radiance Face Mask - Orange 2x8ml","Mask","","[]","[]","£4.00","https://www.lookfantastic.com/apivita-express-radiance-face-mask-orange-2x8ml/11902638.html","56","UNMATCHED"
"","APIVITA Express Radiance Face Mask - Pomegranate 2x8ml","Mask","","[]","[]","£4.00","https://www.lookfantastic.com/apivita-express-radiance-face-mask-pomegranate-2x8ml/11902646.html","59","UNMATCHED"
"","APIVITA Moisturizing Face Mask - Aloe 50ml","Mask","","[]","[]","£12.30","https://www.lookfantastic.com/apivita-moisturizing-face-mask-aloe-50ml/11902627.html","58","UNMATCHED"
"","APIVITA Pure Jasmine Mini Shower Gel with Essential Oils 75ml","Body Wash","","[]","[]","£5.22","https://www.lookfantastic.com/apivita-pure-jasmine-mini-shower-gel-with-essential-oils-75ml/11902705.html","57","UNMATCHED"
"","ARK Skincare Hydrating Beauty Mist 150ml","Mist","","[]","[]","£25.00","https://www.lookfantastic.com/ark-skincare-hydrating-beauty-mist/11565069.html","62","UNMATCHED"
"","Armani Prima Mist 100ml","Mist","","[]","[]","£34.00","https://www.lookfantastic.com/armani-prima-mist-100ml/12203274.html","57","UNMATCHED"
"","Aromatherapy Associates De-Stress Mind Bath & Shower Oil (55ml)","Bath Oil","","[]","[]","£48.00","https://www.lookfantastic.com/aromatherapy-associates-de-stress-mind-bath-shower-oil-55ml/10360232.html","66","UNMATCHED"
"","Aromatherapy Associates De-Stress Muscle Bath & Shower Oil (55ml)","Bath Oil","","[]","[]","£47.00","https://www.lookfantastic.com/aromatherapy-associates-de-stress-muscle-bath-shower-oil-55ml/10358944.html","65","UNMATCHED"
"","Aromatherapy Associates De-Stress Shower Oil 250ml","Body Wash","","[]","[]","£26.00","https://www.lookfantastic.com/aromatherapy-associates-de-stress-shower-oil-250ml/12613204.html","68","UNMATCHED"
"","Aromatherapy Associates Inner Strength Bath & Shower Oil (55ml)","Bath Oil","","[]","[]","£49.00","https://www.lookfantastic.com/aromatherapy-associates-inner-strength-bath-shower-oil-55ml/10757782.html","65","UNMATCHED"
"","Aromatherapy Associates Relax Body Wash 250ml","Body Wash","","[]","[]","£22.00","https://www.lookfantastic.com/aromatherapy-associates-relax-body-wash-250ml/11715381.html","55","UNMATCHED"
"","Aromatherapy Associates Relax Deep Relax Bath & Shower Oil (55ml)","Bath Oil","","[]","[]","£49.00","https://www.lookfantastic.com/aromatherapy-associates-relax-deep-relax-bath-shower-oil-55ml/10358940.html","59","UNMATCHED"
"","Aromatherapy Associates Revive Evening Bath & Shower Oil (55ml)","Bath Oil","","[]","[]","£49.00","https://www.lookfantastic.com/aromatherapy-associates-revive-evening-bath-shower-oil-55ml/10309165.html","58","UNMATCHED"
"","Aromatherapy Associates Revive Evening Bath & Shower Oil 55ml","Bath Oil","","[]","[]","£49.00","https://www.lookfantastic.com/aromatherapy-associates-revive-evening-bath-shower-oil-55ml/10304200.html","58","UNMATCHED"
"","Aromatherapy Associates Revive Morning Bath & Shower Oil (55ml)","Bath Oil","","[]","[]","£48.00","https://www.lookfantastic.com/aromatherapy-associates-revive-morning-bath-shower-oil-55ml/10358948.html","58","UNMATCHED"
"","Aromatherapy Associates Revive Shower Oil 250ml","Body Wash","","[]","[]","£26.00","https://www.lookfantastic.com/aromatherapy-associates-revive-shower-oil-250ml/12613203.html","62","UNMATCHED"
"","Aromatherapy Associates Rose Shower Oil 250ml","Body Wash","","[]","[]","£26.00","https://www.lookfantastic.com/aromatherapy-associates-rose-shower-oil-250ml/12613206.html","63","UNMATCHED"
"","Aromatherapy Associates Support Breathe Bath & Shower Oil (55ml)","Bath Oil","","[]","[]","£47.00","https://www.lookfantastic.com/aromatherapy-associates-support-breathe-bath-shower-oil-55ml/10360241.html","61","UNMATCHED"
"","Aromatherapy Associates Support Equilibrium Bath & Shower Oil (55ml)","Bath Oil","","[]","[]","£48.00","https://www.lookfantastic.com/aromatherapy-associates-support-equilibrium-bath-shower-oil-55ml/10360243.html","58","UNMATCHED"
"","AromaWorks Purity Face Toner 100ml","Toner","","[]","[]","£12.99","https://www.lookfantastic.com/aromaworks-purity-face-toner-100ml/11328801.html","58","UNMATCHED"
"","AromaWorks Rejuvenate Face Serum Oil 30ml","Oil","","[]","[]","£14.99","https://www.lookfantastic.com/aromaworks-rejuvenate-face-serum-oil-30ml/11328802.html","63","UNMATCHED"
"","Aurelia Probiotic Skincare Cell Repair Night Oil 50ml","Oil","","[]","[]","£49.60","https://www.lookfantastic.com/aurelia-probiotic-skincare-cell-repair-night-oil-50ml/11218927.html","58","UNMATCHED"
"","Aurelia Probiotic Skincare Refine and Polish Miracle Balm 75ml","Balm","","[]","[]","£45.60","https://www.lookfantastic.com/aurelia-probiotic-skincare-refine-and-polish-miracle-balm-75ml/11218936.html","54","UNMATCHED"
"","Aurelia Probiotic Skincare Revitalise & Glow Serum 30ml","Serum","","[]","[]","£51.20","https://www.lookfantastic.com/aurelia-probiotic-skincare-revitalise-glow-serum-30ml/11218937.html","61","UNMATCHED"
"","Aurelia Skincare Firm & Replenish Body Serum 250ml","Serum","","[]","[]","£38.40","https://www.lookfantastic.com/aurelia-skincare-firm-replenish-body-serum-250ml/11491745.html","58","UNMATCHED"
"","Australian Bodycare Body Wash 500ml","Body Wash","","[]","[]","£17.99","https://www.lookfantastic.com/australian-bodycare-body-wash-500ml/12368621.html","57","UNMATCHED"
"","Avant Skincare PH Balancing & Brightening Rose Infusion Day Mist 30ml","Mist","","[]","[]","£80.00","https://www.lookfantastic.com/avant-skincare-ph-balancing-brightening-rose-infusion-day-mist-30ml/11975758.html","62","UNMATCHED"
"","Avant Skincare Proactive Mandelic Acid Restoring and Anti-Pollution Toner 200ml","Toner","","[]","[]","£76.00","https://www.lookfantastic.com/avant-skincare-proactive-mandelic-acid-restoring-and-anti-pollution-toner-200ml/12542198.html","56","UNMATCHED"
"","Avant Skincare Velvet Perfecting Rose Sugar Lip Scrub 10ml","Exfoliator","","[]","[]","£58.00","https://www.lookfantastic.com/avant-skincare-velvet-perfecting-rose-sugar-lip-scrub-10ml/12542197.html","57","UNMATCHED"
"","Aveda Botanical Kinetics Toning Mist 150ml","Mist","","[]","[]","£19.00","https://www.lookfantastic.com/aveda-botanical-kinetics-toning-mist-150ml/10541412.html","62","UNMATCHED"
"","Aveda Hand Relief Night Renewal Serum 30ml","Serum","","[]","[]","£27.00","https://www.lookfantastic.com/aveda-hand-relief-night-renewal-serum-30ml/11032875.html","66","UNMATCHED"
"","Aveeno Baby Daily Care Baby Gentle Wash 500ml","Body Wash","","[]","[]","£6.00","https://www.lookfantastic.com/aveeno-baby-daily-care-baby-gentle-wash-500ml/11724603.html","55","UNMATCHED"
"","Aveeno Baby Daily Care Hair & Body Wash 500ml","Body Wash","","[]","[]","£7.99","https://www.lookfantastic.com/aveeno-baby-daily-care-hair-body-wash-500ml/11984361.html","56","UNMATCHED"
"","Aveeno Baby Dermexa Moisturising Wash 300ml","Body Wash","","[]","[]","£9.99","https://www.lookfantastic.com/aveeno-baby-dermexa-moisturising-wash-300ml/12263373.html","58","UNMATCHED"
"","Aveeno Daily Moisturising Body Wash 300ml","Body Wash","","[]","[]","£6.99","https://www.lookfantastic.com/aveeno-daily-moisturising-body-wash-300ml/11984360.html","64","UNMATCHED"
"","Aveeno Daily Moisturising Yogurt Body Wash Vanilla & Oat Scented 300ml","Body Wash","","[]","[]","£7.82","https://www.lookfantastic.com/aveeno-daily-moisturising-yogurt-body-wash-vanilla-oat-scented-300ml/11433755.html","59","UNMATCHED"
"","Aveeno Skin Relief Moisturising Body Wash 500ml","Body Wash","","[]","[]","£9.99","https://www.lookfantastic.com/aveeno-skin-relief-moisturising-body-wash-500ml/11984359.html","66","UNMATCHED"
"","Avene Antirougeurs Clean Cleanser 200ml","Cleanser","","[]","[]","£14.50","https://www.lookfantastic.com/avene-antirougeurs-clean-cleanser-200ml/11568829.html","61","UNMATCHED"
"","Avène Antirougeurs Jour Redness Relief Moisturizing Protecting Cream (40ml)","Moisturiser","","[]","[]","£16.00","https://www.lookfantastic.com/avene-antirougeurs-jour-redness-relief-moisturizing-protecting-cream-40ml/11117577.html","67","UNMATCHED"
"","Avène Aqua Gel 50ml","Moisturiser","","[]","[]","£20.00","https://www.lookfantastic.com/avene-aqua-gel-50ml/12312809.html","62","UNMATCHED"
"eau thermale avène","Cleanance Cleansing Gel","Face Cleanser","Canada","[""Water"",""Sodium Lauroyl Methyl Isethionate"",""Zinc Coceth Sulfate"",""Sodium Cocoamphoacetate"",""Ceteareth-60 Myristyl Glycol"",""Peg-40 Hydrogenated Castor Oil"",""Citric Acid"",""Disodium EDTA"",""Parfum"",""Glyceryl Laurate"",""Ci 61570"",""Lauric Acid"",""Sodium Benzoate"",""Sodium Chloride"",""Sodium Hydroxide"",""Sodium Methyl Isethionate"",""Ci 19140"",""Zinc Gluconate""]","[""Reduces Large Pores"",""Drying"",""May Worsen Oily Skin"",""Acne Trigger"",""Irritating""]","£12.00","https://www.lookfantastic.com/avene-cleanance-cleansing-gel-200ml/11571223.html","79","eau thermale avène Cleanance Cleansing Gel"
"avène","XeraCalm A.D Ultra-Rich Cleansing Bar","Bath & Body","France","[""Disodium Laureth Sulfosuccinate"",""Maltodextrin"",""Sodium Cocoyl Isethionate"",""Stearic Acid"",""Rosa Damascena Flower Water"",""Cetearyl Alcohol"",""Oenothera Biennis Oil"",""Aquaphilus Dolomiae Extract"",""Arginine"",""Citric Acid"",""Microcrystalline Wax"",""Ci 77891"",""Tocopherol""]","[""Reduces Irritation"",""Reduces Large Pores"",""Brightening"",""Drying"",""May Worsen Oily Skin"",""Acne Trigger"",""Irritating""]","£5.00","https://www.lookfantastic.com/avene-cold-cream-ultra-rich-cleansing-bar/11571232.html","72","avène XeraCalm A.D Ultra-Rich Cleansing Bar"
"","Avene Face Essentials Cleansing Foam 150ml","Cleanser","","[]","[]","£13.50","https://www.lookfantastic.com/avene-face-essentials-cleansing-foam-150ml/11571236.html","69","UNMATCHED"
"cetaphil","Gentle PHA Exfoliating Cleanser","Face Cleanser","United States","[""Water"",""Glycerin"",""Gluconolactone"",""Cocamidopropyl Betaine"",""Niacinamide"",""Sodium Cocoyl Isethionate"",""Peg-120 Methyl Glucose Trioleate"",""Sodium Lauroyl Methyl Isethionate"",""Sodium Chloride"",""Di-Ppg-2 Myreth-10 Adipate"",""Sodium Benzoate"",""Peg-150 Distearate"",""Sodium Methyl Oleoyl Taurate"",""Propanediol"",""Coconut Acid"",""Alcohol"",""Sodium Hydroxide"",""Achillea Millefolium Flower/Leaf/Stem Extract"",""Trisodium Ethylenediamine Disuccinate"",""Malva Sylvestris Flower"",""Melissa Officinalis Leaf Extract"",""Mentha Piperita Leaf Extract"",""Primula Veris Flower Extract"",""Alchemilla Vulgaris Flower/Leaf/Stem Extract"",""Veronica Officinalis Flower/Leaf/Stem Extract"",""BHA""]","[""Good For Oily Skin"",""Redness Reducing"",""Acne Fighting"",""Brightening"",""Drying"",""Acne Trigger"",""Rosacea""]","£13.00","https://www.lookfantastic.com/avene-gentle-exfoliating-scrub-75ml/11491747.html","73","cetaphil Gentle PHA Exfoliating Cleanser"
"","Avene Gentle Eye Make-Up Remover 125ml","Eye Care","","[]","[]","£10.00","https://www.lookfantastic.com/avene-gentle-eye-make-up-remover-125ml/11571264.html","65","UNMATCHED"
"avène","Gentle Milk Cleanser","Face Cleanser","France","[""Paraffinum Liquidum"",""Propylene Glycol"",""Peg-8 Stearate"",""Peg-32 Stearate"",""1"",""2-Hexanediol"",""Acrylates/C10-30 Alkyl Acrylate Crosspolymer"",""C12-20 Alkyl Glucoside"",""C14-22 Alcohols"",""Caprylyl Glycol"",""Carbomer"",""Parfum"",""Palmitic Acid"",""Sodium Hyaluronate"",""Sodium Hydroxide"",""Stearic Acid"",""Water""]","[""May Worsen Oily Skin""]","£11.50","https://www.lookfantastic.com/avene-gentle-milk-cleanser/11523971.html","87","avène Gentle Milk Cleanser"
"","Avène Gentle Toner 200ml","Toner","","[]","[]","£8.63","https://www.lookfantastic.com/avene-gentle-toner-200ml/11571239.html","67","UNMATCHED"
"","Avene Hydrance Hydrating Cream 40ml","Moisturiser","","[]","[]","£15.50","https://www.lookfantastic.com/avene-hydrance-hydrating-cream-40ml/11638678.html","69","UNMATCHED"
"","Avene Hydrance Intense Serum 30ml","Serum","","[]","[]","£20.00","https://www.lookfantastic.com/avene-hydrance-intense-serum-30ml/11568827.html","68","UNMATCHED"
